Price,Area,Bedroom,Bathroom
231300.0,5650,2,1.0
538000.0,7639,3,2.25
180000.0,8062,2,1.0
604000.0,5000,4,3.0
510000.0,7503,3,2.0
1225000.0,101930,4,4.5
257500.0,6819,3,2.25
291850.0,9711,3,1.5
229500.0,8113,3,1.0
323000.0,7570,3,2.5
662500.0,8925,3,2.5
468000.0,6000,2,1.0
310000.0,12697,3,1.0
400000.0,10208,3,1.75
530000.0,4850,5,2.0
650000.0,4000,4,3.0
395000.0,14018,3,2.0
485000.0,4300,4,1.0
189000.0,5095,2,1.0
230000.0,8850,3,1.0
385000.0,4980,4,1.75
2000000.0,20336,3,2.75
285000.0,7005,5,2.5
252700.0,8386,2,1.5
329000.0,6865,3,2.25
233000.0,4705,3,2.0
937000.0,3573,3,1.75
667000.0,3861,3,1.0
438000.0,6235,3,1.75
719000.0,6026,4,2.5
580500.0,3980,3,2.5
280000.0,1756,2,1.5
687500.0,5000,4,1.75
535000.0,5080,3,1.0
322500.0,8720,4,2.75
696000.0,3264,3,2.5
550000.0,11467,4,1.0
640000.0,4700,4,2.0
240000.0,7800,4,1.0
605000.0,11884,4,2.5
625000.0,5669,4,2.5
775000.0,30617,4,2.25
861990.0,5639,5,2.75
685000.0,2640,3,1.0
309000.0,8808,3,1.0
488000.0,9232,3,2.5
210490.0,8840,3,1.0
785000.0,13685,4,2.5
450000.0,5100,3,1.75
1350000.0,72513,3,2.5
228000.0,9364,3,1.0
345000.0,9133,5,2.5
600000.0,4080,3,1.75
585000.0,6738,2,1.75
920000.0,6000,5,2.25
885000.0,5000,4,2.5
292500.0,4500,4,2.5
301000.0,4750,3,2.5
951000.0,11044,5,3.25
430000.0,8542,4,3.0
650000.0,18900,3,2.25
289000.0,8750,3,1.75
505000.0,9500,3,1.75
549000.0,3090,3,1.75
425000.0,4080,3,2.25
317625.0,4000,3,2.75
975000.0,11049,4,2.5
287000.0,4557,4,2.5
204000.0,12635,3,1.0
1325000.0,20158,5,2.25
1040000.0,38917,5,3.25
325000.0,4745,3,2.0
571000.0,7807,4,2.0
360000.0,5000,4,2.5
349000.0,50529,3,1.75
832500.0,35020,4,4.0
380000.0,7500,4,1.75
480000.0,5060,3,1.0
410000.0,5693,3,1.0
720000.0,39750,4,2.5
390000.0,5363,3,2.5
360000.0,6405,4,2.5
355000.0,6720,2,1.0
356000.0,8797,3,1.5
315000.0,7203,3,1.0
940000.0,4800,3,1.5
305000.0,8165,5,2.25
461000.0,7349,3,3.25
215000.0,2025,2,2.25
335000.0,1106,2,1.75
243500.0,7510,4,2.5
1099880.0,6250,5,2.75
153000.0,10500,3,1.0
430000.0,4500,3,1.5
700000.0,4500,3,1.5
905000.0,6045,4,2.5
247500.0,15616,3,1.75
199000.0,6400,4,1.5
314000.0,135036,3,1.75
437500.0,35065,3,2.5
850830.0,4500,3,2.5
555000.0,3478,3,2.0
699950.0,47777,3,2.25
1088000.0,8113,3,2.5
290000.0,14910,3,1.0
375000.0,8162,3,2.5
460000.0,4005,3,1.0
188500.0,4966,2,1.75
680000.0,35001,4,2.5
470000.0,9433,5,1.75
597750.0,9636,4,2.5
570000.0,3536,3,1.75
272500.0,11656,3,1.75
329950.0,5500,3,1.75
480000.0,8517,4,2.5
740500.0,6350,3,3.5
518500.0,3166,3,3.5
205425.0,6780,2,1.0
171800.0,9000,4,2.0
535000.0,4040,4,1.0
660000.0,10856,3,2.5
391500.0,9104,3,2.0
395000.0,6000,2,1.0
445000.0,4400,4,1.75
770000.0,13992,3,2.25
1450000.0,11275,4,2.75
445000.0,8712,3,2.25
260000.0,8400,4,2.25
822500.0,4960,5,3.5
430000.0,3748,4,2.5
212000.0,7680,3,1.75
660500.0,9793,4,2.25
784000.0,88500,3,3.5
453246.0,1662,3,2.5
675000.0,2285,4,3.5
199000.0,19265,3,1.75
220000.0,8140,4,1.75
452000.0,10436,4,2.25
382500.0,5715,2,1.0
519950.0,1310,3,2.25
665000.0,3600,2,1.0
527700.0,9375,5,2.5
205000.0,8579,3,1.0
420000.0,7940,3,1.0
500000.0,8824,4,2.25
921500.0,87991,4,2.5
890000.0,4000,4,1.0
430000.0,193842,2,2.5
258000.0,18000,5,2.0
511000.0,4599,3,1.0
532170.0,3090,3,2.0
